"filename", "language", "JSON", "JSON with Comments", "YAML", "Markdown", "TypeScript JSX", "JavaScript", "TypeScript", "MS SQL", "Svelte", "PostCSS", "HTML", "Ignore", "Handlebars", "comment", "blank", "total"
"c:\Data\TRADERDASH\traderdash-monorepo\README.md", "Markdown", 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 82
"c:\Data\TRADERDASH\traderdash-monorepo\apps\backend\.eslintrc.js", "JavaScript", 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27
"c:\Data\TRADERDASH\traderdash-monorepo\apps\backend\.prettierrc", "JSON", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Data\TRADERDASH\traderdash-monorepo\apps\backend\README.md", "Markdown", 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 24, 86
"c:\Data\TRADERDASH\traderdash-monorepo\apps\backend\drizzle.config.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Data\TRADERDASH\traderdash-monorepo\apps\backend\drizzle\0000_ordinary_naoko.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Data\TRADERDASH\traderdash-monorepo\apps\backend\drizzle\0001_long_nuke.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Data\TRADERDASH\traderdash-monorepo\apps\backend\drizzle\meta\0000_snapshot.json", "JSON", 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 59
"c:\Data\TRADERDASH\traderdash-monorepo\apps\backend\drizzle\meta\0001_snapshot.json", "JSON", 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 73
"c:\Data\TRADERDASH\traderdash-monorepo\apps\backend\drizzle\meta\_journal.json", "JSON", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20
"c:\Data\TRADERDASH\traderdash-monorepo\apps\backend\nest-cli.json", "JSON", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Data\TRADERDASH\traderdash-monorepo\apps\backend\package.json", "JSON", 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 81
"c:\Data\TRADERDASH\traderdash-monorepo\apps\backend\src\application\app.controller.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 5, 23
"c:\Data\TRADERDASH\traderdash-monorepo\apps\backend\src\application\app.controller.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 3, 13
"c:\Data\TRADERDASH\traderdash-monorepo\apps\backend\src\application\app.module.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 1, 2, 36
"c:\Data\TRADERDASH\traderdash-monorepo\apps\backend\src\application\app.service.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Data\TRADERDASH\traderdash-monorepo\apps\backend\src\application\auth\auth.filter.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Data\TRADERDASH\traderdash-monorepo\apps\backend\src\application\auth\auth.filter.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 7, 28
"c:\Data\TRADERDASH\traderdash-monorepo\apps\backend\src\application\auth\auth.guard.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Data\TRADERDASH\traderdash-monorepo\apps\backend\src\application\auth\auth.guard.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 4, 6, 27
"c:\Data\TRADERDASH\traderdash-monorepo\apps\backend\src\application\auth\auth.middleware.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Data\TRADERDASH\traderdash-monorepo\apps\backend\src\application\auth\auth.middleware.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 4, 16
"c:\Data\TRADERDASH\traderdash-monorepo\apps\backend\src\application\auth\auth.module.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 3, 42
"c:\Data\TRADERDASH\traderdash-monorepo\apps\backend\src\application\auth\config.interface.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 3, 10
"c:\Data\TRADERDASH\traderdash-monorepo\apps\backend\src\application\auth\session\session.decorator.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Data\TRADERDASH\traderdash-monorepo\apps\backend\src\application\auth\supertokens\supertokens.service.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 5, 19
"c:\Data\TRADERDASH\traderdash-monorepo\apps\backend\src\application\auth\supertokens\supertokens.service.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 76, 0, 0, 0, 0, 0, 0, 23, 4, 103
"c:\Data\TRADERDASH\traderdash-monorepo\apps\backend\src\application\config\api.config.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 6, 6, 23
"c:\Data\TRADERDASH\traderdash-monorepo\apps\backend\src\application\main.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 3, 21
"c:\Data\TRADERDASH\traderdash-monorepo\apps\backend\src\application\user\dto\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Data\TRADERDASH\traderdash-monorepo\apps\backend\src\application\user\user.controller.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 5, 19
"c:\Data\TRADERDASH\traderdash-monorepo\apps\backend\src\application\user\user.controller.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 5, 66
"c:\Data\TRADERDASH\traderdash-monorepo\apps\backend\src\application\user\user.module.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Data\TRADERDASH\traderdash-monorepo\apps\backend\src\application\user\user.service.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 5, 19
"c:\Data\TRADERDASH\traderdash-monorepo\apps\backend\src\application\user\user.service.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 82, 0, 0, 0, 0, 0, 0, 2, 6, 90
"c:\Data\TRADERDASH\traderdash-monorepo\apps\backend\src\core\common\config\app.config.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Data\TRADERDASH\traderdash-monorepo\apps\backend\src\core\common\config\database.config.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Data\TRADERDASH\traderdash-monorepo\apps\backend\src\core\common\database\database.exception.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 4, 34
"c:\Data\TRADERDASH\traderdash-monorepo\apps\backend\src\core\common\database\database.module.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Data\TRADERDASH\traderdash-monorepo\apps\backend\src\core\common\database\drizzle\drizzle.module.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 2, 34
"c:\Data\TRADERDASH\traderdash-monorepo\apps\backend\src\core\common\database\drizzle\pg-connection.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Data\TRADERDASH\traderdash-monorepo\apps\backend\src\core\common\database\entities\base.dao.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 3, 3, 17
"c:\Data\TRADERDASH\traderdash-monorepo\apps\backend\src\core\common\database\entities\entities.schema.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Data\TRADERDASH\traderdash-monorepo\apps\backend\src\core\common\database\entities\helpers\with-modifitaction-dates.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Data\TRADERDASH\traderdash-monorepo\apps\backend\src\core\common\database\entities\user\user.dao.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 8, 66
"c:\Data\TRADERDASH\traderdash-monorepo\apps\backend\src\core\common\database\entities\user\user.entity.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Data\TRADERDASH\traderdash-monorepo\apps\backend\src\core\common\validation\env.validation.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 2, 3, 19
"c:\Data\TRADERDASH\traderdash-monorepo\apps\backend\src\core\common\validation\parse-string.pipe.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 2, 22
"c:\Data\TRADERDASH\traderdash-monorepo\apps\backend\src\core\common\validation\zod.pipe.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Data\TRADERDASH\traderdash-monorepo\apps\backend\test\app.e2e-spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 5, 25
"c:\Data\TRADERDASH\traderdash-monorepo\apps\backend\test\jest-e2e.json", "JSON", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Data\TRADERDASH\traderdash-monorepo\apps\backend\tsconfig.build.json", "JSON", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Data\TRADERDASH\traderdash-monorepo\apps\backend\tsconfig.json", "JSON with Comments", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\.prettierignore", "Ignore", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 1, 5
"c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\.prettierrc", "JSON", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\README.md", "Markdown", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 39
"c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\components.json", "JSON", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14
"c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\eslint.config.js", "JavaScript", 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 1, 2, 34
"c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\package.json", "JSON", 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 68
"c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\playwright.config.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 3, 13
"c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\postcss.config.js", "JavaScript", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\app.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 8, 26, 90
"c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\app.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 6, 2, 21
"c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\app.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 1, 13
"c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\hooks.client.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\index.test.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\api\user\check-username.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\api\user\complete-onboarding.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\api\user\get-user-info.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 6, 55
"c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\auth\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\auth\magic-link.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 104, 0, 0, 0, 0, 0, 0, 1, 6, 111
"c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\auth\page-protectors.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 19, 5, 49
"c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\CookieConsent.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 3, 23
"c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\SEO.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 4, 35
"c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\charts\bar-chart-test.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 2, 60
"c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\charts\theme.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 371, 0, 0, 0, 0, 0, 0, 0, 1, 372
"c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\connections\ConnectionCard.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 3, 48
"c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\connections\table\actions.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\connections\table\manage-connections-table.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 86, 0, 0, 0, 0, 0, 7, 93
"c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\exchanges\traderdash\add-connection-traderdash.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 2, 5
"c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\layout\Breadcrumbs.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 3, 53
"c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\layout\Header.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 4, 47
"c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\layout\NavLink.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 4, 49
"c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\layout\NavLinkList.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 76, 0, 0, 0, 0, 0, 2, 78
"c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\layout\Notifications.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 2, 40
"c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\layout\SearchAnything.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 6, 67
"c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\layout\common\PageHeader.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 2, 19
"c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\layout\common\PageWrapper.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\onboarding\OnboardingOne.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 3, 37
"c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\onboarding\OnboardingThree.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 5, 56
"c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\onboarding\OnboardingTwo.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 92, 0, 0, 0, 0, 0, 6, 98
"c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\ui\accordion\accordion-content.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 4, 26
"c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\ui\accordion\accordion-item.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 4, 15
"c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\ui\accordion\accordion-trigger.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 4, 27
"c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\ui\accordion\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 1, 2, 18
"c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\ui\avatar\avatar-fallback.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 4, 17
"c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\ui\avatar\avatar-image.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 4, 19
"c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\ui\avatar\avatar.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 4, 19
"c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\ui\avatar\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 1, 2, 14
